RUN	appsellerTest.BasicSimulation	basicsimulation	1619641401954	 	3.3.1
USER	Scenario Name	1	START	1619641403520	1619641403520
REQUEST	1		listCountries	1619641403590	1619641403756	OK	 
USER	Scenario Name	2	START	1619641404500	1619641404500
REQUEST	2		listCountries	1619641404501	1619641404652	OK	 
USER	Scenario Name	3	START	1619641405504	1619641405504
REQUEST	3		listCountries	1619641405505	1619641405625	OK	 
USER	Scenario Name	4	START	1619641406492	1619641406492
REQUEST	4		listCountries	1619641406493	1619641406635	OK	 
REQUEST	1		Login	1619641410791	1619641411074	OK	 
USER	Scenario Name	1	END	1619641403520	1619641411088
REQUEST	2		Login	1619641411662	1619641411948	OK	 
USER	Scenario Name	2	END	1619641404500	1619641411950
REQUEST	3		Login	1619641412644	1619641412875	OK	 
USER	Scenario Name	3	END	1619641405504	1619641412876
REQUEST	4		Login	1619641413654	1619641413892	OK	 
USER	Scenario Name	4	END	1619641406492	1619641413893
