RUN	appsellerTest.BasicSimulation	basicsimulation	1619641224589	 	3.3.1
USER	Scenario Name	1	START	1619641226294	1619641226294
REQUEST	1		listCountries	1619641226352	1619641226486	OK	 
USER	Scenario Name	2	START	1619641227277	1619641227277
REQUEST	2		listCountries	1619641227278	1619641227426	OK	 
USER	Scenario Name	3	START	1619641228279	1619641228279
REQUEST	3		listCountries	1619641228281	1619641228424	OK	 
USER	Scenario Name	4	START	1619641229257	1619641229257
REQUEST	4		listCountries	1619641229260	1619641229421	OK	 
REQUEST	1		Login	1619641233525	1619641233948	OK	 
USER	Scenario Name	1	END	1619641226294	1619641233957
REQUEST	2		Login	1619641234444	1619641234693	OK	 
USER	Scenario Name	2	END	1619641227277	1619641234695
REQUEST	3		Login	1619641235438	1619641235666	OK	 
USER	Scenario Name	3	END	1619641228279	1619641235668
REQUEST	4		Login	1619641236437	1619641236670	OK	 
USER	Scenario Name	4	END	1619641229257	1619641236675
